id,title,area,section,read_only,risk,administrator,catalog_status,entry,route_line,route,implementation,tests_mentioning_id,runtime_status,individual_command_executed_by_audit,evidence_class
sysmon-uninstall,Remove Sysmon,Security,Protection,False,High,Required,Implemented,All Tools / ExecuteSelectedToolCommand,362,"await SysmonUninstallAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:456,tests/WinCare.CommandCatalog.Tests/CommandCatalogTests.cs,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
offline-images,Offline images,Repair & recovery,Repair,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,218,"await NativeToolQueryAsync(""offline-images"", ""dism.exe"", [""/English"", ""/Get-MountedImageInfo""], cancellationToken, administratorOptional: true).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:356,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
offline-drivers,Offline drivers,Repair & recovery,Repair,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,219,"await DismOfflineQueryAsync(""offline-drivers"", p, ""/Get-Drivers"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:465,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
offline-packages,Offline packages,Repair & recovery,Repair,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,220,"await DismOfflineQueryAsync(""offline-packages"", p, ""/Get-Packages"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:465,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
offline-features,Offline features,Repair & recovery,Repair,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,221,"await DismOfflineQueryAsync(""offline-features"", p, ""/Get-Features"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:465,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
offline-driver-add,Add offline driver,Repair & recovery,Repair,False,High,Required,Implemented,All Tools / ExecuteSelectedToolCommand,363,"await DismOfflineMutationAsync(""offline-driver-add"", p, [""/Add-Driver"", ""/Driver:"" + p.RequiredString(""Path"")], cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:474,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
offline-driver-remove,Remove offline driver,Repair & recovery,Repair,False,High,Required,Implemented,All Tools / ExecuteSelectedToolCommand,364,"await DismOfflineMutationAsync(""offline-driver-remove"", p, [""/Remove-Driver"", ""/Driver:"" + p.RequiredString(""Driver"")], cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:474,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
offline-package-add,Add offline package,Repair & recovery,Repair,False,High,Required,Implemented,All Tools / ExecuteSelectedToolCommand,365,"await DismOfflineMutationAsync(""offline-package-add"", p, [""/Add-Package"", ""/PackagePath:"" + p.RequiredString(""Path"")], cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:474,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
offline-feature-set,Change offline feature,Repair & recovery,Repair,False,High,Required,Implemented,All Tools / ExecuteSelectedToolCommand,366,"await DismOfflineFeatureSetAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:485,tests/native/test_full_native_migration.py; tests/native/test_parameter_schema_contract.py,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
power-sessions,Power sessions,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,222,"await ReadStateAsync(""power-sessions"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:582,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
power-start,Start a power session,System care,Performance,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,367,"await PowerSessionStartAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:152,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
power-stop,Stop a power session,System care,Performance,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,368,"await PowerSessionStopAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:162,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
windows,Window inventory,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,223,"WindowInventory(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Desktop.cs:15,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
monitors,Monitors,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,224,"MonitorInventory(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Desktop.cs:35,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
window-zones,Window zones,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,225,"await ReadStateAsync(""window-zones"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:582,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
window-zone-set,Place a window in a zone,System care,Performance,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,369,"WindowZoneSet(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Desktop.cs:147,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
window-topmost,Keep a window on top,System care,Performance,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,370,"WindowTopmost(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Desktop.cs:130,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
window-activate,Activate a window,System care,Performance,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,371,"WindowActivate(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Desktop.cs:139,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
input-release,Release stuck input,All tools,Commands,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,372,"InputRelease(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Desktop.cs:158,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
downloads,Downloads,System care,Network & updates,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,226,"await ReadStateAsync(""downloads"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:582,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
downloads-due,Downloads due,System care,Network & updates,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,227,"await DownloadsDueAsync(cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:175,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
download-create,Create a download,System care,Network & updates,False,Moderate,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,373,"await DownloadCreateAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:185,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
download-start,Start a download,System care,Network & updates,False,Moderate,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,374,"await DownloadStartAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:199,tests/native/test_full_native_migration.py,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
download-start-due,Start due downloads,System care,Network & updates,False,Moderate,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,375,"await DownloadStartDueAsync(cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:360,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
download-suspend,Pause a download,System care,Network & updates,False,Moderate,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,376,"await DownloadSuspendAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:386,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
download-resume,Resume a download,System care,Network & updates,False,Moderate,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,377,"await DownloadStartAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:199,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
download-reconcile,Reconcile downloads,System care,Network & updates,False,Moderate,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,378,"await DownloadReconcileAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:406,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
download-cancel,Cancel a download,System care,Network & updates,False,Moderate,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,379,"await DownloadCancelAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:426,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
download-remove,Remove a download,System care,Network & updates,False,Moderate,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,380,"await DownloadRemoveAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:465,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
telemetry-snapshot,Telemetry snapshot,Checkup,Results,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,228,"TelemetrySnapshot(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:493,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
telemetry-history,Telemetry history,Checkup,Results,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,229,"await ReadStateAsync(""telemetry-history"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:582,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
telemetry-capture,Capture a local telemetry snapshot,All tools,Commands,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,381,"await TelemetryCaptureAsync(cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:280,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
telemetry-export,Export telemetry history,All tools,Commands,False,Low,Required,Implemented,All Tools / ExecuteSelectedToolCommand,382,"await ExportStateAsync(""telemetry-history"", p, ""wincare-telemetry.json"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:124,,shared export helper failure reproduced in harmless Windows fixture; individual command not executed (F-008),no,shared-helper runtime proof plus caller source trace; NOT individual-command runtime failure
launcher-search,Find launcher,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,230,"LauncherSearch(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:509,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
launcher-open,Open launcher,System care,Performance,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,383,"LauncherOpen(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:521,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
calculator,Calculator,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,231,"Calculator(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:535,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
steam-games,Steam games,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,232,"SteamGames(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:543,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
steam-users,Steam users,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,233,"SteamUsers(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:571,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
steam-cloud-files,Steam cloud files,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,234,"SteamCloudFiles(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:580,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
steam-backup,Back up Steam game data,System care,Performance,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,384,"await SteamBackupAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:607,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
steam-restore,Restore Steam game data,System care,Performance,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,385,"await SteamRestoreAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:616,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
game-integrity,Check game file integrity,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,235,"await GameIntegrityAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:625,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
offline-reduction-profiles,Offline reduction profiles,Repair & recovery,Repair,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,236,"StaticProfileCatalog(""offline-reduction""),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Experience.cs:24,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
offline-reduction-assess,Assess offline reduction,Repair & recovery,Repair,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,237,"await OfflineReductionAssessAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Experience.cs:496,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
offline-reduction-apply,Apply offline reduction,Repair & recovery,Repair,False,High,Required,Implemented,All Tools / ExecuteSelectedToolCommand,386,"await OfflineReductionApplyAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Experience.cs:504,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
workspace-layouts,Workspace layouts,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,238,"await ReadStateAsync(""workspace-layouts"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:582,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
workspace-layout-save,Save workspace layout,System care,Performance,False,Low,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,387,"await WorkspaceLayoutSaveAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Experience.cs:524,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
workspace-layout-apply,Apply workspace layout,System care,Performance,False,Moderate,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,388,"await WorkspaceLayoutApplyAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Experience.cs:533,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
workspace-layout-remove,Remove workspace layout,System care,Performance,False,Low,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,389,"await RemoveStateItemAsync(""workspace-layouts"", p.RequiredString(""Id""), cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:81,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
color-capture,Capture color,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,239,"ColorCapture(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Desktop.cs:174,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
color-palette,Color palette,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,240,"await ReadStateAsync(""color-palette"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:582,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
color-add,Add color,All tools,Commands,False,Low,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,390,"await ColorAddAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Desktop.cs:195,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
color-remove,Remove color,All tools,Commands,False,Low,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,391,"await RemoveStateItemAsync(""color-palette"", p.RequiredString(""Id""), cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:81,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
image-metadata,Image metadata,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,241,"ImageMetadata(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:645,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
notes,Notes,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,242,"await ReadStateAsync(""notes"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:582,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
note-save,Save note,All tools,Commands,False,Low,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,392,"await NoteSaveAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:202,tests/WinCare.CommandCatalog.Tests/CommandCatalogTests.cs,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
note-remove,Remove note,All tools,Commands,False,Low,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,393,"await RemoveStateItemAsync(""notes"", p.RequiredString(""Id""), cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:81,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
browsers,Browser workspace,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,243,"BrowserInventory(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:655,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
browser-extensions,Browser extensions,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,244,"BrowserExtensions(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:669,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
remote-support,Remote support,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,245,"await RemoteSupportStateAsync(cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:690,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
remote-consent,Remote consent,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,246,"await ReadStateAsync(""remote-consents"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:582,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
remote-consent-create,Create remote consent,All tools,Commands,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,394,"await RemoteConsentCreateAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:230,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
remote-consent-state,Remote consent state,All tools,Commands,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,395,"await RemoteConsentStateAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:247,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
remote-consent-expire,Expire remote consent,All tools,Commands,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,396,"await RemoteConsentExpireAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:256,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
remote-emergency,Remote emergency,All tools,Commands,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,397,"await RemoteEmergencyAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:263,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
studio-snapshot,Workspace snapshot,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,247,"await StudioSnapshotAsync(cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:706,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
studio-monitoring-export,Export studio monitoring,System care,Performance,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,398,"await ExportStateAsync(""telemetry-history"", p, ""wincare-studio-monitoring.json"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:124,,shared export helper failure reproduced in harmless Windows fixture; individual command not executed (F-008),no,shared-helper runtime proof plus caller source trace; NOT individual-command runtime failure
studio-file-workspaces,Studio file workspaces,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,248,"await ReadStateAsync(""studio-file-workspaces"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:582,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
studio-file-workspace-save,Save studio file workspace,System care,Performance,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,399,"await UpsertStateItemAsync(""studio-file-workspaces"", p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:52,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
studio-layout-profiles,Studio layout profiles,System care,Routines,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,249,"await ReadStateAsync(""studio-layout-profiles"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:582,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
studio-layout-save,Save studio layout,System care,Performance,False,Low,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,400,"await UpsertStateItemAsync(""studio-layout-profiles"", p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:52,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
studio-package,Studio package,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,253,"StudioPackageInventory(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:1132,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
studio-brightness-schedules,Studio brightness schedules,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,250,"await ReadStateAsync(""studio-brightness-schedules"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:582,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
studio-brightness-save,Save studio brightness,System care,Performance,False,Low,Required,Implemented,All Tools / ExecuteSelectedToolCommand,401,"await UpsertStateItemAsync(""studio-brightness-schedules"", p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:52,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
studio-brightness-apply,Apply studio brightness,System care,Performance,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,402,"DisplayCalibrate(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Desktop.cs:86,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
studio-folder-appearance,Studio folder appearance,System care,Performance,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,403,"FolderAppearance(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:854,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
studio-kanata-validate,Validate studio Kanata,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,251,"StudioToolValidation(""kanata"", [""kanata.exe""]),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:720,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
studio-syncthing,Studio Syncthing,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,252,"StudioToolValidation(""syncthing"", [""syncthing.exe""]),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:720,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
studio-wezterm,Studio WezTerm,System care,Performance,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,404,"await StudioWezTermAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:726,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
studio-adb-inventory,Studio Android Debug Bridge inventory,System care,Performance,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,405,"await StudioAdbAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:763,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
studio-xbox-fse,Xbox Full Screen Experience,System care,Performance,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,406,"await StudioXboxFseAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:783,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
toolkit-diagnostics,Unified diagnostics,Checkup,Results,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,254,"ToolkitDiagnostics(cancellationToken),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:873,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
